USERID,ORDERDATE,ORDERID,AMOUNTINFO
150087,2016-01-01,4196654014,16
134834,2016-01-01,4110789228,14.9
77227,2016-01-01,3847577831,13.9
56525,2016-01-01,4102139030,13.9
100031,2016-01-01,4109698193,13.8
145619,2016-01-01,4017014111,13.8
86822,2016-01-01,4111560669,12.9
120064,2016-01-01,4103163041,12.9
54670,2016-01-01,4202623046,12.9
121180,2016-01-01,4097610959,12.5
103876,2016-01-01,4105529764,11.9
100304,2016-01-01,4107142022,11.9
126442,2016-01-01,4184583942,11.9
59576,2016-01-01,4112416474,11.9
83244,2016-01-01,4107524904,11.9
107970,2016-01-01,4190209528,11.9
90413,2016-01-01,4200903342,11.9
123661,2016-01-01,4202001101,11.5
78115,2016-01-01,4175214719,11.5
137778,2016-01-01,4077587142,10.9
99952,2016-01-01,4201301889,9.9
65041,2016-01-01,4106923611,9.9
79114,2016-01-01,4106713393,9.9
163916,2016-01-01,4175642869,9.9
97051,2016-01-01,4106161920,9.9
126216,2016-01-01,4117610630,9.9
59904,2016-01-01,3979583882,9.9
62785,2016-01-01,4072487480,9.9
76555,2016-01-01,4195451710,9.9
128346,2016-01-01,4101383750,9.9
89992,2016-01-01,3980155224,9.9
159814,2016-01-01,4110274858,9.9
61971,2016-01-01,4107323448,9.9
112447,2016-01-01,4188584214,9.9
156071,2016-01-01,4196670970,9.9
91591,2016-01-01,4162958278,9.9
139777,2016-01-01,4163585461,9.9
86928,2016-01-01,4192390982,9.9
70402,2016-01-01,4151022443,9.9
124293,2016-01-01,4119511112,9.8
133718,2016-01-01,4177199193,9.8
136173,2016-01-01,4115300094,9.8
72050,2016-01-01,4123459977,9.8
92067,2016-01-01,4101352203,9.8
55494,2016-01-01,4170979790,9.8
130722,2016-01-01,4107426278,9.8
112589,2016-01-01,4202435774,9
120362,2016-01-01,4110633480,8.9
123758,2016-01-01,3992939286,8.9
117230,2016-01-01,4196201749,8.9
151780,2016-01-01,4097371812,8.8
113695,2016-01-01,4112441050,8.6
122675,2016-01-01,4139516810,8.6
105227,2016-01-01,4198492886,8.5
70451,2016-01-01,4177168409,8
106297,2016-01-01,4098684985,7.9
151238,2016-01-01,4109083677,7.8
146584,2016-01-01,4018231928,7.8
109021,2016-01-01,4078490238,6.9
128546,2016-01-01,4104440819,6.9
54056,2016-01-01,4195684705,6.3
139877,,4111956196,6.3
153332,2016-01-01,3980245875,6
88855,2016-01-01,4109498612,6
115365,2016-01-01,4171099638,6
54599,2016-01-01,4119525205,
158931,2016-01-01,4078490314,4.2
159739,2016-01-01,4107892304,1.8
105015,2016-01-01,3807060197,0.5
57953,2016-01-01,3976299711,0.5
159410,2016-01-01,4193596588,0.5
120065,2016-01-01,4196210675,0.5
140248,2016-01-01,4198369869,0.5
142900,2016-01-02,4202935052,8999
92654,2016-01-02,4197113131,8513
92230,2016-01-02,4192241890,6899
93422,2016-01-02,4202621515,6188
85026,2016-01-02,4192615790,5799
164230,2016-01-02,4195876402,5599
150923,2016-01-02,4199758473,5299
58826,2016-01-02,4190098948,4599
115986,2016-01-02,4196534300,4586
137707,2016-01-02,4190000767,4199
104963,2016-01-02,4195682804,3999
139729,2016-01-02,4195434319,3999
151849,2016-01-02,4190449184,3999
156922,2016-01-02,4195361458,3899
162140,2016-01-02,4197669520,3880
65418,2016-01-02,3906340087,3799
92119,2016-01-02,4202102048,3768
90181,2016-01-02,4195434082,3699
60263,2016-01-02,4201602681,3599
65456,2016-01-02,4195643356,
85292,2016-01-02,4198805026,3399
88549,2016-01-02,4200306843,3299
53902,2016-01-02,4032229695,3199
150816,2016-01-02,3941890624,2999
57921,2016-01-02,4194414941,2990
162029,2016-01-02,4021456866,2699
118353,2016-01-02,4202976368,2599
57576,2016-01-02,4199618392,2499
133508,2016-01-02,4191206526,2468
132375,2016-01-02,4202078885,2365
128527,2016-01-02,4193662606,2299
149473,2016-01-02,4196626438,2286
110953,2016-01-02,4180517130,2286
113144,2016-01-02,3949060801,2286
65417,2016-01-02,4193902966,2278
162916,2016-01-02,4194190849,2199
156214,2016-01-02,4175844321,1999
132347,2016-01-02,4200884199,1899
105708,2016-01-02,4196421604,1849
159871,2016-01-02,4192464316,1680
151225,2016-01-02,4197718041,1488
144942,2016-01-02,4203096143,1398
56117,2016-01-02,4196762177,1299
104762,2016-01-02,4195920681,1299
62627,2016-01-02,4198459722,1088
92555,2016-01-02,4196795636,1070
113317,2016-01-02,4189923697,1056
88883,2016-01-02,4192223328,1028
68887,2016-01-02,4202491346,939
128226,2016-01-02,4187989709,899
99432,2016-01-02,4190917599,899
54319,2016-01-02,4193986912,798
133473,2016-01-02,4191811708,739
53299,2016-01-02,4198058411,688
152090,2016-01-02,4152107789,599
106580,2016-01-02,4194611990,598
105276,2016-01-02,4130983319,459
73507,2016-01-02,4194430312,439
148978,2016-01-02,4194555746,399
79620,2016-01-02,4177807153,399
144207,2016-01-02,4199753156,369
112758,2016-01-02,4196161773,359
102190,2016-01-02,4153841608,319
123007,2016-01-02,4005668884,318
84765,2016-01-02,4171480769,299
110209,2016-01-02,4155209998,299
55975,2016-01-02,4192251995,249
75971,2016-01-02,4202425071,249
154428,2016-01-02,4163848822,249
149457,2016-01-02,4193928830,229
151140,2016-01-02,3896483714,219
141318,2016-01-02,4193944550,212
119424,2016-01-02,4202626956,199
72663,2016-01-02,4200285178,199
118431,2016-01-02,3890389692,199
102146,2016-01-02,4190994538,199
64126,2016-01-02,4200958986,199
127112,2016-01-02,4192143223,198
61336,2016-01-02,4202265234,195
76930,2016-01-02,3587675514,189
91150,2016-01-02,4196234224,188
99237,2016-01-02,4152068682,179
105656,2016-01-02,4197645035,179
132052,2016-01-02,4191324440,179
118675,2016-01-02,4160510927,168
130841,2016-01-02,4199544441,159
80158,2016-01-02,4199548822,159
71158,2016-01-02,4202923190,149
89194,2016-01-02,4194547529,138
164621,2016-01-02,4193106080,136
52158,2016-01-02,4193471656,129
62456,2016-01-02,4196017866,129
155532,2016-01-02,4195650699,129
86395,2016-01-02,3656519530,119
131425,2016-01-02,4192274213,118
70753,2016-01-02,4189979505,109
102413,2016-01-02,4197624566,109
150427,2016-01-02,4192072451,105
142262,2016-01-02,4199326451,99
124615,2016-01-02,4190507135,99
153937,2016-01-02,4191982986,99
72919,2016-01-02,4194099792,79
122603,2016-01-02,3990270441,78
135467,2016-01-02,4142014972,78
110036,2016-01-02,4163864615,72
60290,2016-01-02,4199946008,69
141684,2016-01-02,4198218322,69
130812,2016-01-02,4190457208,68
96347,2016-01-02,4196795088,65.9
65928,2016-01-02,4185520838,65.9
107479,2016-01-02,4187153710,59
116047,2016-01-02,4191184627,59
160237,2016-01-02,4192691851,59
159180,2016-01-02,4190764673,59
110656,2016-01-02,4190532317,59
116634,2016-01-02,4101037936,59
94067,2016-01-02,4188388863,59
103116,2016-01-02,4195945534,59
118577,2016-01-02,4007572224,58
94802,2016-01-02,4031076012,55
132153,2016-01-02,4200731527,55
102423,2016-01-02,4196121742,55
143449,2016-01-02,4202853870,50
163544,2016-01-02,4152312062,49
132620,2016-01-02,4190916780,49
144460,2016-01-02,4166381561,49
140612,2016-01-02,4190522355,49
122979,2016-01-02,4195905154,49
155070,2016-01-02,4197859308,49
132938,2016-01-02,4191890606,46.9
109296,2016-01-02,4195422361,45
111749,2016-01-02,4194981012,44.9
81363,2016-01-02,4195442803,44.9
52790,2016-01-02,4118106949,39
85177,2016-01-02,4198412577,39
57737,2016-01-02,4196854804,39
126839,2016-01-02,4192851218,35
75603,2016-01-02,4195266456,35
66866,2016-01-02,4131436274,33.8
109496,2016-01-02,4199461291,29.9
98254,2016-01-02,4193369694,29.9
120108,2016-01-02,4203050817,29
90686,2016-01-02,4194381646,29
83960,2016-01-02,4189451366,29
77516,2016-01-02,4017519360,29
108561,2016-01-02,4193270233,25
67732,2016-01-02,4193209429,24.7
65252,2016-01-02,4196462907,24
99790,2016-01-02,3952206784,24
132517,2016-01-02,4198269204,23.9
131099,2016-01-02,4080082988,23.9
67122,2016-01-02,3980318466,23.9
135373,2016-01-02,4111360635,23.9
113927,2016-01-02,4200970581,23
58587,2016-01-02,4171024001,22.9
153959,2016-01-02,4189563547,21.9
100543,2016-01-02,3982205423,21.9
112322,2016-01-02,4118143740,21.9
55671,2016-01-02,4194640317,21.6
52341,2016-01-02,4191996025,21.6
138042,2016-01-02,4197959182,19.9
69956,2016-01-02,4196519991,19.9
63133,2016-01-02,4162214824,19.9
123163,2016-01-02,4076618343,19.9
119834,2016-01-02,4196049262,19.9
155140,2016-01-02,4199034976,19
84969,2016-01-02,4110404004,18.8
111663,2016-01-02,4107225042,18.8
93314,2016-01-02,4102348470,18.2
158810,2016-01-02,3996620761,17.5
125839,2016-01-02,4126029301,16.5
65616,2016-01-02,4195514884,15.5
113609,2016-01-02,4187532849,15
142641,2016-01-02,4110634411,15
132446,2016-01-02,4117133337,13.9
148659,2016-01-02,4175127966,13.9
78051,2016-01-02,4155578875,13.9
69741,2016-01-02,4107207922,12.9
154434,2016-01-02,4194865891,12.9
105028,2016-01-02,4110169926,11.9
153282,2016-01-02,4079750296,11.9
105923,2016-01-02,4102075385,11.9
155240,2016-01-02,4201495667,11.9
72823,2016-01-02,4191809064,11.9
63904,2016-01-02,4194381145,11.9
120241,2016-01-02,4181055350,11.9
76325,2016-01-02,4021630595,10.9
91369,2016-01-02,4104159504,10.9
138735,2016-01-02,4109031440,9.9
89315,2016-01-02,4195942023,9.9
148652,2016-01-02,4104900792,9.9
98841,2016-01-02,4105973087,9.9
82520,2016-01-02,4104280189,9.9
110554,2016-01-02,4122713317,9.9
156635,2016-01-02,4102076734,9.9
127715,2016-01-02,4121154824,9.9
118308,2016-01-02,3979852635,9.9
157758,2016-01-02,4175087129,9.9
153311,2016-01-02,4082424295,9.9
163020,2016-01-02,4106498980,9.9
152534,2016-01-02,4106943198,9.9
105871,2016-01-02,4107636766,9.9
104105,2016-01-02,4111161815,9.9
102555,2016-01-02,4106128277,9.9
124157,2016-01-02,4099006908,9.9
69661,2016-01-02,3982610369,9.9
94913,2016-01-02,4098488894,9.9
123264,2016-01-02,4109831524,9.9
57663,2016-01-02,4202335849,9.9
116011,2016-01-02,4191656438,9.9
88475,2016-01-02,4104711255,9.9
103613,2016-01-02,4194822218,9.8
150153,2016-01-02,4194656302,8.9
61049,2016-01-02,4107410649,8.9
88542,2016-01-02,4104658515,8.9
144550,2016-01-02,4098085414,8.9
86956,2016-01-02,4140021830,8.9
139708,2016-01-02,4097126709,8.9
151876,2016-01-02,4109082809,8.6
124596,2016-01-02,4144816603,8.6
117830,2016-01-02,3971399219,7.8
150304,2016-01-02,4105528212,7.8
117096,2016-01-02,4109082733,7.8
100793,2016-01-02,4197067506,7.8
117543,2016-01-02,3980777542,6.9
60480,2016-01-02,4037377467,6.9
92879,2016-01-02,4109307069,6.9
97969,2016-01-02,4144902255,6.3
89640,2016-01-02,4197717726,6.3
149991,2016-01-02,4104088729,6.3
69192,2016-01-02,4099663591,6
55381,2016-01-02,4121347153,6
53239,2016-01-02,4127394603,6
98956,2016-01-02,4097326254,6
71368,2016-01-02,4034353274,5.9
82592,2016-01-02,4054603660,4.5
74164,2016-01-02,3979421239,4.2
149090,2016-01-02,4193699166,3.9
64521,2016-01-02,4195654607,0.5
105102,2016-01-02,4194501673,0.5
160718,2016-01-03,4191949427,7599
88038,2016-01-03,4194477262,5999
120118,2016-01-03,3238894589,5399
57369,2016-01-03,4195128611,5299
157676,2016-01-03,3674440932,4999
97320,2016-01-03,4195812158,4899
141244,2016-01-03,4199452126,4899
96966,2016-01-03,4197360757,4586
77504,2016-01-03,4200763183,4199
153868,2016-01-03,3759352193,4199
106674,2016-01-03,4191376598,3999
55618,2016-01-03,4193234629,3999
115064,2016-01-03,4201964314,3999
66519,2016-01-03,4194480884,3899
99408,2016-01-03,4180358230,3799
140105,2016-01-03,4195615998,3599
92646,2016-01-03,4190926052,3444
135740,2016-01-03,4196718761,3399
107056,2016-01-03,4192217573,3388
110915,2016-01-03,4193722882,3344
76695,2016-01-03,4195410603,3299
93088,2016-01-03,4201874503,3139
100600,2016-01-03,4202216486,3139
145898,2016-01-03,4183767436,3099
110942,2016-01-03,4194796333,3099
126011,2016-01-03,4190497803,3098
108025,2016-01-03,4190927428,3098
137337,2016-01-03,3983313134,3088
100115,2016-01-03,4188026089,2999
73479,2016-01-03,4198973127,2999
98085,2016-01-03,4194463067,2988
76291,2016-01-03,4200414292,2899
105159,2016-01-03,4171616888,2899
137974,2016-01-03,4198007788,2896
155648,2016-01-03,4155892348,2799
73750,2016-01-03,4127161325,2799
144950,2016-01-03,4190733161,2659
156683,2016-01-03,4197266890,2599
61702,2016-01-03,4198855492,2599
112201,2016-01-03,4192682649,2580
75246,2016-01-03,4186348748,2499
163469,2016-01-03,4196049394,2499
79863,2016-01-03,4193637588,2399
88127,2016-01-03,4178299426,2344
162404,2016-01-03,4198844911,2299
56198,2016-01-03,4195113397,2278
160198,2016-01-03,4194220607,2199
119712,2016-01-03,4196790562,2199
152884,2016-01-03,4192270873,2199
162914,2016-01-03,4194215481,2199
144622,2016-01-03,4202898471,2099
85125,2016-01-03,3282021377,1999
162540,2016-01-03,4194498308,1899
128725,2016-01-03,4197209937,1888
133212,2016-01-03,4202196114,1888
130207,2016-01-03,4193863284,1699
98213,2016-01-03,4032090345,1638
90300,2016-01-03,4201900511,1598
157209,2016-01-03,4197923451,1399
63887,2016-01-03,4198516920,1399
83406,2016-01-03,4195396686,1399
100003,2016-01-03,4192435694,1358
117441,2016-01-03,4201728655,1348
82197,2016-01-03,4202249276,1198
122469,2016-01-03,4191358250,999
76456,2016-01-03,4185172735,999
141158,2016-01-03,4191496626,999
61337,2016-01-03,4200062401,998
97483,2016-01-03,4190088792,829
112884,2016-01-03,4197296784,791
94560,2016-01-03,4202275413,749
73886,2016-01-03,4178848756,599
144075,2016-01-03,4193522116,549
105185,2016-01-03,4199430166,499
139488,2016-01-03,4090223071,469
88877,2016-01-03,4121545852,448
147976,2016-01-03,4197681231,448
103869,2016-01-03,4180336520,409
143548,2016-01-03,4191609179,399
140856,2016-01-03,4197733376,399
136387,2016-01-03,4185199909,399
132749,2016-01-03,4200791133,399
111397,2016-01-03,4198160719,399
55673,2016-01-03,3925864649,398
82897,2016-01-03,4197756408,368
57268,2016-01-03,4146265440,359
142167,2016-01-03,4198708265,349
143101,2016-01-03,4193160487,299
85990,2016-01-03,4029213858,299
133831,2016-01-03,4196365712,299
133596,2016-01-03,4191678499,299
148368,2016-01-03,4099250350,299
131654,2016-01-03,4190288336,299
83340,2016-01-03,4100616749,295
108822,2016-01-03,4196418519,289
76555,2016-01-03,3650072924,269
149353,2016-01-03,4196410117,229
161297,2016-01-03,4106910316,219
99967,2016-01-03,3564536545,218
103497,2016-01-03,3952206784,218
100590,2016-01-03,4203146920,199
149908,2016-01-03,4150687675,199
85463,2016-01-03,3373890231,199
127530,2016-01-03,4193623222,199
79512,2016-01-03,4196762278,188
103823,2016-01-03,4199955376,179
149695,2016-01-03,4117571166,179
76648,2016-01-03,4193846940,169.1
93387,2016-01-03,4196858622,169
152644,2016-01-03,4200119602,169
121593,2016-01-03,4197533883,168
67499,2016-01-03,4192193149,154
116741,2016-01-03,4199180880,119
125595,2016-01-03,4196611922,118
53727,2016-01-03,4129661348,109
141552,2016-01-03,4167155190,109
57847,2016-01-03,4192461830,109
163972,2016-01-03,4202577343,108
115991,2016-01-03,4202096979,106
137151,2016-01-03,3828503583,106
118164,2016-01-03,4175560825,106
108240,2016-01-03,4194446156,105
70252,2016-01-03,4196725017,105
73279,2016-01-03,4193661727,99
97382,2016-01-03,4198773552,99
71249,2016-01-03,4201152983,99
86629,2016-01-03,4192459118,99
80818,2016-01-03,4193014548,99
161883,2016-01-03,4195812689,99
108294,2016-01-03,4201374394,99
134837,2016-01-03,4192751349,95
98742,2016-01-03,3900185183,89.9
80241,2016-01-03,4192135193,89
72643,2016-01-03,4191870596,89
98799,2016-01-03,4195351191,89
154638,2016-01-03,4194752152,88
145171,2016-01-03,4154416653,88
132214,2016-01-03,4179066901,86
137292,2016-01-03,4031557542,79.9
136517,2016-01-03,4197205608,79
134524,2016-01-03,4202254684,79
126812,2016-01-03,4189246457,78
64517,2016-01-03,4199519825,69
92074,2016-01-03,4188100661,69
78037,2016-01-03,4191364099,69
122464,2016-01-03,4099441747,69
157450,2016-01-03,4144445937,66
80219,2016-01-03,4188702040,62
53230,2016-01-03,4109612891,61
160402,2016-01-03,4200877125,59
60063,2016-01-03,4191402022,59
158979,2016-01-03,4192679051,59
101989,2016-01-03,4193496874,59
159439,2016-01-03,4170038287,59
76768,2016-01-03,4192045707,57
76203,2016-01-03,4191272432,56.9
124173,2016-01-03,3668095203,56
152623,2016-01-03,4199715513,51
122769,2016-01-03,4126027718,51
112618,2016-01-03,3997985435,49
61365,2016-01-03,4007705180,49
144835,2016-01-03,4039306730,46.9
119360,2016-01-03,4191613107,44.9
154945,2016-01-03,4110681224,39
116775,2016-01-03,4041062459,39
87294,2016-01-03,4197558679,39
131035,2016-01-03,4007660433,37
119514,2016-01-03,4176585178,36
71496,2016-01-03,4196097275,34.5
78938,2016-01-03,4187053664,33.9
135257,2016-01-03,4120439732,33.9
83061,2016-01-03,4195920061,33.9
150645,2016-01-03,4202332589,33.8
121568,2016-01-03,4198098860,32
97459,2016-01-03,4148659642,31
119065,2016-01-03,4191473218,29.9
66446,2016-01-03,4185566769,29.8
109118,2016-01-03,4191261944,29
128846,2016-01-03,4190138916,29
92219,2016-01-03,4195053037,29
88998,2016-01-03,4191033102,29
156582,2016-01-03,4191581252,26.9
117821,2016-01-03,4191348447,21.9
153078,2016-01-03,4170038287,21.9
134520,2016-01-03,4101318574,19.9
130208,2016-01-03,4194045455,19.9
67601,2016-01-03,4194826436,19.9
114903,2016-01-03,4194183840,19.9
157395,2016-01-03,4196805226,19.9
117017,2016-01-03,4201905390,19.9
66088,2016-01-03,4198615374,19.9
61103,2016-01-03,4195619413,19.9
139890,2016-01-03,4195182117,19.9
96546,2016-01-03,4197972585,19.9
144257,2016-01-03,4197690965,19
81700,2016-01-03,4191393166,19
68732,2016-01-03,4202776655,19
56428,2016-01-03,4197832785,18.9
107107,2016-01-03,4195412169,18.9
110371,2016-01-03,4189385439,17.9
141548,2016-01-03,4200303575,17.9
155408,2016-01-03,4190981808,17.5
82721,2016-01-03,4201697128,16.9
72950,2016-01-03,4150792259,16.9
86081,2016-01-03,4118911276,16.9
93396,2016-01-03,4187579874,16.5
130418,2016-01-03,4202195069,16
143609,2016-01-03,4198585246,16
151687,2016-01-03,4189588908,15.5
157767,2016-01-03,4200048698,15
86291,2016-01-03,4162106515,14.7
136679,2016-01-03,4182090753,14
141154,2016-01-03,4148941697,14
140315,2016-01-03,4004450919,13.9
141541,2016-01-03,4108435872,13.9
73316,2016-01-03,4189890706,13.9
56377,2016-01-03,3996815115,13.9
54813,2016-01-03,4090224460,13
153815,2016-01-03,4098038654,12.5
56576,2016-01-03,3984566483,12.5
68007,2016-01-03,4108111415,12
123920,2016-01-03,4117517097,11.9
105431,2016-01-03,4185566610,11.9
112537,2016-01-03,4178278522,11.9
94388,2016-01-03,4117143285,11.9
91507,2016-01-03,4117551251,11.9
161865,2016-01-03,4194334866,11.9
120215,2016-01-03,4201649932,11.5
97446,2016-01-03,4171399005,11
107551,2016-01-03,4155525417,10.9
119536,2016-01-03,4200900223,10.9
147838,2016-01-03,4200029676,10
99717,2016-01-03,4107813979,9.9
108828,2016-01-03,4187047181,9.9
130175,2016-01-03,3989839548,9.9
145286,2016-01-03,4106942730,9.9
160859,2016-01-03,4111605497,9.9
122372,2016-01-03,4099079208,9.9
148015,2016-01-03,4107593271,9.9
151574,2016-01-03,4126347280,9.9
154667,2016-01-03,4103394133,9.9
108527,2016-01-03,4082737981,9.9
158843,2016-01-03,4103874925,9.9
79531,2016-01-03,4106949156,9.9
148366,2016-01-03,4171611094,9.9
73444,2016-01-03,4101087520,9.9
58843,2016-01-03,4099079174,9.9
123742,2016-01-03,4101499204,9
69470,2016-01-03,4097371772,9
142064,2016-01-03,4192088274,9
150203,2016-01-03,4107027316,9
86973,2016-01-03,3906386793,9
133893,2016-01-03,4198825783,8.9
147520,2016-01-03,4171480829,8.9
148443,2016-01-03,4084594341,8.9
75941,2016-01-03,4110169931,8.8
142109,2016-01-03,4141691309,8.6
131179,2016-01-03,4098216971,7.8
107640,2016-01-03,4180985885,6.9
95529,2016-01-03,4200891718,6.9
87308,2016-01-03,4117050168,6.8
58212,2016-01-03,4187666296,6.8
84974,2016-01-03,4199150859,6.3
93472,2016-01-03,4140442959,6
149979,2016-01-03,4187804793,6
55441,2016-01-03,4139209774,6
102043,2016-01-03,4144746143,5.9
58604,2016-01-03,4190923929,0.5
159314,2016-01-03,4196011708,0.5
101328,2016-01-03,4197949318,0.5
62598,2016-01-04,4197620554,6480
130655,2016-01-04,4194734412,4899
134806,2016-01-04,4198402377,4599
57896,2016-01-04,4199478329,4548
162130,2016-01-04,4194823639,4280
66006,2016-01-04,4184354691,4198
60620,2016-01-04,4200030912,3999
160492,2016-01-04,4192196705,3999
51533,2016-01-04,4194427370,3899
132927,2016-01-04,4191821448,3799
127320,2016-01-04,4190292128,3699
81832,2016-01-04,4194333321,3666
57843,2016-01-04,4164214075,3599
106153,2016-01-04,4196175599,3599
98266,2016-01-04,4198408774,3444
86974,2016-01-04,4190393950,3399
124665,2016-01-04,4193459565,3344
117159,2016-01-04,4197157397,3299
91310,2016-01-04,4202960422,3298
147949,2016-01-04,4195670476,3199
143702,2016-01-04,4201883501,3139
139757,2016-01-04,4202776176,2999
95940,2016-01-04,4083990967,2899
63325,2016-01-04,4196629480,2599
117299,2016-01-04,4191461585,2586
55113,2016-01-04,4190168507,2499
70645,2016-01-04,4199424625,2499
95135,2016-01-04,4191796220,2450
